"        Umpqua River Entrance, Half Moon Bay",9433445,43.675,-124.192,Harmonic
        Gardiner,TWC0831,43.7333,-124.1167,Subordinate
        Reedsport,9433501,43.7083,-124.098,Subordinate
        Suislaw River Entrance,9434132,44.0167,-124.13,Subordinate
        Florence USCG Pier,9434098,44.0021,-124.123,Harmonic
        Florence,9434032,43.9667,-124.103,Subordinate
        CHARLESTON,9432780,43.345,-124.322,Harmonic
"        Sitka Dock, Coos Bay",9432879,43.3767,-124.297,Subordinate
        Empire,9432864,43.3917,-124.28,Subordinate
        Coos Bay,9432845,43.38,-124.215,Subordinate
"        YAQUINA USCG STA, NEWPORT",9435385,44.6267,-124.055,Subordinate
        Southbeach,9435380,44.625,-124.043,Harmonic
"        Weiser Point, Yaquina River",9435308,44.5933,-124.008,Harmonic
        TOLEDO,9435362,44.6167,-123.937,Subordinate
        Brighton,9437815,45.67,-123.925,Subordinate
        Nehalem,9437908,45.71,-123.89,Subordinate
        Barview,9437581,45.5683,-123.943,Subordinate
        Garibaldi,9437540,45.5545,-123.9189,Harmonic
        Miami Cove,TWC0863,45.55,-123.9,Subordinate
        Bay City,TWC0865,45.5167,-123.9,Subordinate
        Dick Point,9437381,45.4817,-123.902,Harmonic
"        Tillamook, Hoquarten Slough",9437331,45.46,-123.845,Subordinate
"    Brookings, Chetco Cove",9430104,42.0433,-124.285,Subordinate
"    Gold Beach, Rogue River",9431011,42.4216,-124.4187,Harmonic
"    Wedderburn, Rogue River",TWC0817,42.4333,-124.4167,Subordinate
    Port Orford,9431647,42.739,-124.4983,Harmonic
"    Bandon, Coquille River",9432373,43.12,-124.413,Subordinate
"    Drift Creek, Alsea River",9434938,44.4133,-123.99,Subordinate
"    Waldport, Alsea Bay",9434939,44.4344,-124.0581,Harmonic
    Depoe Bay,9435827,44.81,-124.058,Harmonic
"    Taft, Siletz Bay",9436101,44.9267,-124.013,Subordinate
"    Kernville, Siletz River",9436031,44.8967,-124,Subordinate
"    Cascade Head, Salmon River",9436381,45.0479,-124.0073,Harmonic
"    Netarts, Netarts Bay",9437262,45.43,-123.945,Subordinate
    Nestucca Bay entrance,TWC0857,45.1667,-123.9667,Subordinate
